file	model	utmos_ref	utmos	pesq_wb	estoi	mcd_db	seconds
02882521_v047_842aa65ee6.flac	plus_c	2.9156	2.4745	2.9978	0.9381	2.5658	2.72
02882521_v047_842aa65ee6.flac	plus_cb	2.9156	2.3685	3.1995	0.9368	2.4859	2.72
02882521_v047_842aa65ee6.flac	plus_cba	2.9156	2.4129	3.2807	0.9283	2.4177	2.72
02882521_v047_842aa65ee6.flac	vocos_pretrained_en	2.9156	2.1811	3.0808	0.931	2.7707	2.72
02882521_v047_842aa65ee6.flac	bigvgan_v2	2.9156	2.7057	4.4111	0.9917	2.6386	2.72
01341880_v043_543ca074fd.flac	baseline	2.8421	2.9129	3.2831	0.9505	2.6734	11.04
01341880_v043_543ca074fd.flac	plus_c	2.8421	2.8419	3.3619	0.9492	2.6861	11.04
01341880_v043_543ca074fd.flac	plus_cb	2.8421	2.8109	3.224	0.9508	2.7239	11.04
01341880_v043_543ca074fd.flac	plus_cba	2.8421	2.7874	3.2927	0.9431	2.7649	11.04
01341880_v043_543ca074fd.flac	vocos_pretrained_en	2.8421	2.7164	2.9441	0.9427	3.0327	11.04
01341880_v043_543ca074fd.flac	bigvgan_v2	2.8421	2.8284	4.4596	0.996	2.8859	11.04
03636339_v004_799e14788f.flac	baseline	2.0076	1.8409	3.405	0.9607	3.8684	5.44
03636339_v004_799e14788f.flac	plus_c	2.0076	1.7817	3.3896	0.9646	3.6788	5.44
03636339_v004_799e14788f.flac	plus_cb	2.0076	1.7794	3.3436	0.9624	3.5553	5.44
03636339_v004_799e14788f.flac	plus_cba	2.0076	1.8984	3.4403	0.9613	3.5449	5.44
03636339_v004_799e14788f.flac	vocos_pretrained_en	2.0076	1.6341	2.9114	0.9507	3.8294	5.44
03636339_v004_799e14788f.flac	bigvgan_v2	2.0076	1.9857	4.1186	0.9882	3.5883	5.44
07061321_v069_5e0a9e43bd.flac	baseline	2.7954	2.6477	3.4982	0.9778	2.8488	1.28
07061321_v069_5e0a9e43bd.flac	plus_c	2.7954	2.9108	3.341	0.9831	2.8849	1.28
